,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
287,MIT,physics,40331,1.44,2019,4th,"All students in the department receive the same salary ($3361/month)<br>and the Student Extended <span class=""truncated""> Insurance Plan,<br>regardless of whether they are on RA,<br>TA,<br>internal,<br>or external fellowship (regardless of the fellowship amount).<br>Some external fellowships (e.g.<br>NSF,<br>NDSEG)<br>cover the $340 student life fee,<br>but all other graduate students are required to pay it.<br>The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour.<br>Salary increases for the following year typically begin in June.<br></span>","$40,331",,,,physics
288,MIT,mechanical engineering,39346,1.41,2019,4th,,"$39,516",,,$170,mechanical engineering
289,Harvard University,organismic and evolutionary biology,39200,1.37,2019,1st,Pre-tax,"$39,200",,,,organismic and evolutionary biology
290,MIT,department of urban studies and planning,27889,1,2019,1st,"Insurance plan costs $3,269 for an individual unless student can demonstrate comparable coverage.<br>",,"$28,269",,$380,department of urban studies and planning
291,MIT,sloan school of management,43220,1.55,2019,1st,"All insurance costs covered.<br>Guaranteed 5 years of funding.<br>Laptops provided in first and fourth <span class=""truncated""> year.<br>$4,500 conference travel budget over five years.<br></span>","$43,560",,,$340,sloan school of management
292,Northeastern University,bioengineering,32800,1.15,2019,1st,,"$33,000",,,$200,bioengineering
293,MIT,political science,35000,1.25,2019,1st,,,"$29,000","$6,000",,political science
294,UMass Boston,chemistry,23298,0.81,2020,4th,"Most of us have to pay for transportation.<br> Only an 11% discount on MBTA is offered for grad <span class=""truncated""> students.<br>$550 for semester parking near our building.</span>",,"$18,000","$7,000","$1,702",chemistry
295,MIT,brain and cognitive sciences,42500,1.52,2020,6th and up,,"$42,800",,,$300,brain and cognitive sciences
296,Boston University,biomedical engineering,36782,1.28,2020,1st,Health insurance provided,"$36,782",,,,biomedical engineering
297,Boston University,molecular and translational medicine,36000,1.26,2020,4th,,"$36,000",,,,molecular and translational medicine
298,Boston University,physics phd,36781,1.28,2020,1st,,"$36,781",,,,physics phd
299,Tufts University,genetics,34000,1.22,2020,1st,,"$34,000",,,,genetics
300,Harvard University,physics,38950,1.36,2020,1st,,"$39,000",,,$50,physics
301,Boston University,materials science and engineering,36000,1.26,2020,1st,,"$36,000",,,,materials science and engineering
302,Northeastern University,political science,34250,1.2,2020,1st,,"$34,500",,,$250,political science
303,Boston University,rehabilitation sciences,36000,1.26,2020,1st,,"$36,000",,,,rehabilitation sciences
304,Boston University,rehabilitation sciences,36000,1.26,2020,5th,,"$36,000",,,,rehabilitation sciences
305,Boston University,economics,31340,1.09,2020,3rd,,"$31,340",,,,economics
306,Harvard University,organismic and evolutionary biology,41000,1.43,2020,,,"$41,000",,,,organismic and evolutionary biology
307,Northeastern University,bioengineering,33700,1.18,2020,1st,,"$34,000",,,$300,bioengineering
308,Boston University,,24521,0.86,2020,1st,,,"$24,521",,,
309,Boston University,biology,35000,1.22,2020,2nd,,"$35,000",,,,biology
310,Boston University,political science,23000,0.8,2020,6th and up,,,"$23,000",,,political science
311,Boston University,,29521,1.03,2020,1st,,,"$24,521","$5,000",,
312,Tufts University,english,30245,1.08,2020,1st,,,"$26,245","$4,000",,english
313,Boston University,linguistics,28000,0.98,2020,1st,,,"$23,000","$5,000",,linguistics
314,Harvard University,biological and biomedical sciences,40000,1.4,2020,4th,,"$40,000",,,,biological and biomedical sciences
315,Harvard University,population health sciences,36672,1.28,2020,1st,,"$36,672",,,,population health sciences
316,Harvard University,health policy,29600,1.03,2020,1st,10 month stipend,,"$26,540","$3,060",,health policy
317,MIT,urban studies and planning,36190,1.3,2020,2nd,MIT DUSP recently expanded PhD students funding to being fully funded for five years.,"$36,190",,,,urban studies and planning
318,MIT,,37000,1.32,2020,,,"$37,000",,,,
319,Northeastern University,computer science,39650,1.38,2020,6th and up,,"$40,000",,,$350,computer science
320,Harvard University,oeb,40607,1.42,2020,3rd,,"$40,632",,,$25,oeb
321,UMass Boston,gerontology,18092,0.63,2020,4th,"Full time posting for 18 hours per week for 9 months,<br>did not input required fees because I don&#39;t <span class=""truncated""> remember what they are</span>",,"$18,092",,,gerontology
322,UMass Boston,management,18092,0.63,2020,6th and up,"This is basic compensation for a full time grad assistant.<br> Fees are high and we are expecting <span class=""truncated""> health insurance to rise</span>",,"$18,092",,,management
323,UMass Boston,management,18092,0.63,2020,6th and up,"This is basic compensation for a full time grad assistant.<br> Fees are high and we are expecting <span class=""truncated""> health insurance to rise</span>","$18,092",,,,management
324,Boston University,"speech, language and hearing sciences",35880,1.25,2020,2nd,,"$35,880",,,,"speech, language and hearing sciences"
325,MIT,aeroastro,41856,1.5,2020,4th,,"$41,856",,,,aeroastro
326,Harvard University,systems biology,42000,1.47,2020,1st,,"$42,000",,,,systems biology
327,MIT,chemical engineering,58000,2.08,2020,2nd,,"$58,000",,,,chemical engineering
328,MIT,biological engineering,44700,1.6,2020,5th,,"$45,000",,,$300,biological engineering
329,Tufts University,psychology,28000,1,2020,4th,"Summer/other are on your own to get.<br>It’s an internal grant you apply for,<br>and can get rejected.<br>",,"$23,000","$5,000",,psychology
330,Harvard University,dms,41879,1.46,2020,,,"$42,541",,,$662,dms
331,Harvard University,education,36000,1.26,2020,2nd,,"$36,000",,,,education
332,MIT,economics,35181,1.26,2020,2nd,,,"$35,521",,$340,economics
333,Northeastern University,psychology,37940,1.32,2020,5th,Amount of additional fees vary depending on national vs.<br>international student.<br>,"$38,390",,,$450,psychology
334,Boston University,graduate medical sciences,36000,1.26,2020,3rd,,"$36,000",,,,graduate medical sciences
335,UMass Boston,sociology,16900,0.59,2020,1st,,,"$18,000",,"$1,100",sociology
336,Boston University,biology,36782,1.28,2020,1st,,"$36,782",,,,biology
337,Boston University,psychological and brain sciences (bbc),37000,1.29,2020,2nd,,"$37,000",,,,psychological and brain sciences (bbc)
338,UMass Boston,school for the environment,26750,0.93,2020,4th,,"$27,000",,,$250,school for the environment
339,Northeastern University,computer science,37929,1.32,2020,3rd,,"$38,448",,,$519,computer science
340,Boston University,statistics,37000,1.29,2020,,,,"$37,000",,,statistics
341,Boston University,statistics,37000,1.29,2020,,,,"$37,000",,,statistics
342,Northeastern University,english,35800,1.25,2020,4th,,"$36,000",,,$200,english
343,MIT,economics,34830,1.25,2020,4th,One can RA during the summer to get a stipend for the remaining 3 months.,,"$35,000",,$170,economics
344,Northeastern University,physics,35750,1.25,2020,2nd,,"$36,000",,,$250,physics
345,Boston University,graduate program for neuroscience,34000,1.19,2020,,,"$34,000",,,,graduate program for neuroscience
346,Harvard University,neurobiology,39876,1.39,2020,1st,,"$41,876",,,"$2,000",neurobiology
347,MIT,biology,40632,1.45,2020,4th,,"$41,000",,,$368,biology
348,MIT,eecs,45650,1.63,2020,,,"$46,000",,,$350,eecs
349,MIT,aeroastro,37732,1.35,2020,3rd,,"$38,232",,,$500,aeroastro
350,Northeastern University,sociology and anthropology,23145,0.81,2020,,,,"$23,500",,$355,sociology and anthropology
351,Tufts University,molecular microbiology,31330,1.12,2020,3rd,,"$31,450",,,$120,molecular microbiology
352,MIT,biological engineering,46165,1.65,2020,4th,,"$46,350",,,$185,biological engineering
353,Boston University,mathematics and statistics,34500,1.2,2020,5th,,"$34,500",,,,mathematics and statistics
354,MIT,cee,40700,1.46,2020,4th,,"$41,000",,,$300,cee
